CATEGORIES,COLOR,Sum of MAX,METRIC,TEAM,TOURNAMENT,URL LOGO,Sum of VALUE
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,14.42
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,15.939999999999998
ATTACK,#00CF00,100,"RIGHT ATTACKS WITH SHOTS, %",Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,7.690000000000001
ATTACK,#00CF00,100,SHOTS,Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,12
ATTACK,#00CF00,100,SHOTS,Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,22.67
ATTACK,#00CF00,100,SHOTS,Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,10
ATTACK,#00CF00,100,SHOTS,Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,18
ATTACK,#00CF00,100,SHOTS,Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,16
ATTACK,#00CF00,100,SHOTS,Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,14.67
ATTACK,#00CF00,100,SHOTS,Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,15.33
ATTACK,#00CF00,100,SHOTS,Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,8.5
ATTACK,#00CF00,100,SHOTS,Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,15.67
ATTACK,#00CF00,100,SHOTS,Turkey,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/OIr3e18k-Cfuwb3yH.png,23.33
ATTACK,#00CF00,100,SHOTS,United States,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xfxMId8k-MPdHoKT3.png,14
ATTACK,#00CF00,100,SHOTS,Uruguay,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/pvtmslhT-WdZ4jMrq.png,16
ATTACK,#00CF00,100,"SHOTS ON TARGET, %",Algeria,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/A9ccQtU0-YFbDUeTh.png,37.5
ATTACK,#00CF00,100,"SHOTS ON TARGET, %",Belgium,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/AqUnTDAN-dtrVaP64.png,29.409999999999997
ATTACK,#00CF00,100,"SHOTS ON TARGET, %",Cabo Verde,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/vRSce5lC-GvK8wiCN.png,26.669999999999998
ATTACK,#00CF00,100,"SHOTS ON TARGET, %",Canada,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/0U0WjVkl-EqLGVN18.png,48.15
ATTACK,#00CF00,100,"SHOTS ON TARGET, %",Colombia,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/Y70aXOTH-C6kVdO5F.png,37.5
ATTACK,#00CF00,100,"SHOTS ON TARGET, %",Ecuador,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/nun1o8jC-IPF97VQ3.png,47.73
ATTACK,#00CF00,100,"SHOTS ON TARGET, %",Egypt,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/SKagcEU0-tY1cOGyQ.png,32.61
ATTACK,#00CF00,100,"SHOTS ON TARGET, %",Panama,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/WYjftaA6-6yXdouA1.png,41.18
ATTACK,#00CF00,100,"SHOTS ON TARGET, %",Senegal,FIFA WORLD CUP,https://static.flashscore.com/res/image/data/xORbTVT0-lQcLqf4g.png,40.43
